aimValue,speedValue,isAimMap
6.35119,3.68366,1
6.23924,3.68607,1
4.49811,4.84238,NULL
6.66509,3.72376,1
6.31677,3.64518,1
6.49216,3.76569,1
6.34869,3.75784,1
6.29123,3.8071,1
4.44908,4.88097,NULL
6.3371,3.81906,1
5.91018,3.66955,1
6.65693,3.6861,1
6.13778,4.05224,1
4.80157,5.33488,NULL
5.14851,5.61348,NULL
4.42383,5.29402,NULL
6.07972,3.8536,1
6.47713,3.68323,1
4.52869,5.00853,NULL
6.59305,4.08899,1
6.13051,3.84168,1
6.11015,4.15071,1
6.7203,3.95909,1
6.96633,3.76569,1
6.29355,3.61286,1
6.17502,3.69769,1
5.78959,3.76976,1
6.55377,4.08728,1
5.99088,3.57677,1
5.96272,3.63874,1
6.63305,3.61158,1
6.4797,3.68801,1
6.69401,3.48888,1
5.72485,3.84902,1
6.28661,3.63879,1
6.58518,3.70076,1
6.28739,3.48876,1
5.68156,3.878,1
6.16415,3.61402,1
5.91534,3.48131,1
5.83238,3.74144,1
5.91038,3.76177,1
6.36191,3.81737,1
5.91639,3.85297,1
6.19037,3.61106,1
4.47644,4.91937,NULL
5.81661,3.49474,1
6.10361,3.68064,1
4.52404,5.07072,NULL
5.641,3.75097,1
6.33061,3.66942,1
5.98668,3.60593,1
5.84287,3.61313,1
5.84698,3.46345,1
6.08434,3.63332,1
6.26963,3.76691,1
5.04897,4.69548,NULL
5.96116,3.6393,1
5.92619,3.81668,1
5.72939,3.44286,1
5.01507,5.5172,NULL
4.55166,4.95426,NULL
7.01695,3.90985,1
4.12952,4.65956,NULL
5.90454,3.21087,1
4.68242,4.8494,NULL
5.98322,3.43868,1
5.71469,4.64969,NULL
4.44939,4.70001,NULL
5.85821,4.0254,1
6.08921,3.63998,1
6.09643,3.53162,1
6.23899,3.33207,1
6.95588,4.02294,1
5.6427,3.90396,1
4.75752,4.89535,NULL
4.33379,4.89975,NULL
4.83661,5.48492,NULL
5.39932,3.74237,1
5.61983,3.56815,1
5.72408,3.79313,1
5.92961,3.86511,1
5.69818,3.55525,1
5.80243,3.63608,1
5.6334,3.57659,1
6.50575,3.63998,1
6.01344,3.54552,1
5.70908,3.38646,1
6.14499,3.4445,1
5.21541,3.99321,1
6.19855,3.80126,1
4.79437,4.86137,NULL
5.54135,3.66233,1
4.7703,5.50987,NULL
6.13733,3.81417,1
5.81927,3.32998,1
4.57302,4.83,NULL
6.3212,3.87065,1
5.4523,3.4706,1
5.97266,3.5991,1
4.24092,4.92408,NULL
4.6213,4.74159,NULL
7.03806,4.12428,1
4.27213,5.06027,NULL
6.16976,3.54743,1
5.34826,3.85345,1
6.50405,4.2251,1
4.69746,4.94192,NULL
5.75543,3.52634,1
4.80777,4.7199,NULL
5.07607,5.5115,NULL
6.48352,3.63332,1
4.7134,4.63807,NULL
6.74775,3.68367,1
4.60788,6.43751,0
4.91645,4.15456,NULL
5.44173,3.86378,1
6.48759,3.39751,1
4.52146,4.70545,NULL
5.52487,4.62528,NULL
4.94556,5.41229,NULL
5.71098,3.69439,1
5.55863,4.71575,NULL
5.54549,4.26676,1
4.99284,3.96592,NULL
5.99743,4.56404,1
4.86405,4.12039,NULL
4.79055,3.97069,NULL
4.68127,4.80848,NULL
4.11614,5.06577,NULL
6.25554,3.30333,1
4.71399,4.65066,NULL
5.32109,3.98826,1
5.41785,4.30344,NULL
4.78196,3.93941,NULL
4.92963,4.13511,NULL
5.86583,3.87593,1
5.80615,3.8023,1
4.53164,4.46975,NULL
5.14343,4.32286,NULL
5.21974,4.4813,NULL
4.88437,4.65531,NULL
5.58624,3.49854,1
6.05835,3.36549,1
4.7998,4.16681,NULL
4.72592,4.5348,NULL
3.99347,4.87208,NULL
5.04532,4.19585,NULL
5.46997,3.44767,1
5.77171,3.29899,1
5.03322,4.66896,NULL
5.63148,3.47722,1
5.20431,3.79011,1
5.49611,3.86495,1
4.45333,4.47122,NULL
4.65434,4.79629,NULL
5.669,4.07889,1
5.10538,4.37522,NULL
4.49816,4.55747,NULL
6.44261,3.97285,1
4.95734,4.03357,NULL
5.88486,3.71597,1
5.67346,3.99399,1
5.10027,4.52473,NULL
7.18281,3.39752,1
4.62442,4.86715,NULL
6.36105,3.68081,1
5.43899,3.27344,1
4.21707,4.84524,NULL
4.13983,4.80159,NULL
5.12876,4.28445,NULL
5.51302,3.36157,1
4.55903,4.78865,NULL
4.35812,5.044,NULL
4.60132,4.9316,NULL
5.32087,3.15019,1
5.78932,3.46309,1
5.9534,3.66489,1
5.81309,3.37304,1
4.07101,4.88214,NULL
4.35304,4.9609,NULL
5.82907,3.4829,1
3.91702,5.09713,NULL
5.51384,3.43784,1
5.58232,3.53016,1
4.81717,5.13381,NULL
4.71872,4.42901,NULL
5.55391,3.25026,1
5.63762,3.63406,1
5.75769,3.92204,1
4.68364,4.84554,NULL
5.66554,3.35878,1
4.3573,4.46434,NULL
5.14001,4.039,NULL
4.81051,4.12076,NULL
4.05132,5.04552,NULL
5.30478,3.5071,1
5.57613,3.39899,1
5.39821,3.79825,1
5.64727,3.59576,1
5.85175,3.61488,1
4.72095,4.71632,NULL
5.5274,3.49045,1
5.58805,3.34138,1
5.01351,3.85537,NULL
4.67131,4.81484,NULL
6.07952,3.65701,1
5.28078,3.3748,1
5.84468,3.68654,1
4.51817,4.93295,NULL
4.70134,4.23272,NULL
4.48684,4.16073,NULL
4.53472,4.39261,NULL
5.40763,3.45473,1
4.7687,4.26825,NULL
4.661,4.24881,NULL
4.77078,5.08193,NULL
5.90801,3.59999,1
4.49175,4.87004,NULL
6.25864,3.38979,1
4.35187,4.17058,NULL
5.90646,4.39069,1
5.08447,4.48596,NULL
4.56746,4.73349,NULL
4.61659,4.44657,NULL
4.61905,4.29929,NULL
5.78757,3.38632,1
4.46672,4.04111,NULL
5.32431,3.44551,1
5.49465,4.05274,1
5.18637,3.66661,1
4.64179,3.9343,NULL
5.54977,2.49924,1
4.11084,4.58385,NULL
6.1433,4.65287,1
4.41741,4.47753,NULL
4.47499,4.27366,NULL
4.10758,4.55824,NULL
5.42049,3.36229,1
5.44206,5.05393,NULL
5.1287,4.31124,NULL
5.0271,4.079,NULL
5.27003,3.12975,1
4.61973,5.18421,NULL
4.87296,4.08491,NULL
5.51497,4.07568,1
4.56197,4.1165,NULL
4.48749,4.85026,NULL
4.33294,4.29974,NULL
4.10528,4.83172,NULL
4.66763,3.91001,NULL
5.1701,3.94705,1
6.05972,4.22597,1
5.3274,3.73359,1
4.78754,4.23662,NULL
4.67656,4.87464,NULL
5.49489,3.47731,1
5.5486,3.65142,1
5.06981,4.25942,NULL
4.29982,4.58839,NULL
6.00164,3.34443,1
4.26062,4.20835,NULL
4.6789,4.29241,NULL
5.46488,3.44594,1
4.71409,4.03582,NULL
5.69488,3.86594,1
4.20689,5.13338,NULL
4.31286,5.35074,NULL
5.10739,5.01935,NULL
6.49283,4.04408,1
5.6278,3.54367,1
4.86049,4.23176,NULL
5.02864,3.53306,1
4.79609,4.16223,NULL
5.50438,4.61834,NULL
4.75697,3.99903,NULL
4.83491,4.60423,NULL
4.62415,5.12789,NULL
4.59464,4.05942,NULL
6.57214,3.90844,1
